"class","Species","Date","Latitude","Longitude","Alive","week.number","obsDate","State","New","Confirmed","Status","Oiling","Condition","BirdCount","Date_","Oil_Cond"
"Aves","Unknown","2010-05-17",30.22968,-87.9705,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.22973,-87.9704,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.22974,-87.97006,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.23029,-87.96343,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.2441,-88.11286,"N",21,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-05-17",5
"Aves","Unknown","2010-05-17",30.24663,-88.12605,"N",21,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-05-17",5
"Aves","Unknown","2010-05-17",30.25253,-85.95505,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.25357,-85.95766,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.25379,-85.95818,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.29107,-87.46271,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.34895,-86.95338,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.35655,-87.0042,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.35673,-87.00313,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.35683,-87.00283,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.35697,-87.00198,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-17",30.35753,-86.99803,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-17",3
"Aves","Unknown","2010-05-18",30.23023,-87.89397,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31756,-87.27435,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31938,-87.22938,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31973,-87.22643,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31973,-87.22643,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31978,-87.2262,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31986,-87.22559,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31987,-87.22562,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.31993,-87.22545,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-18",30.32847,-89.19846,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-18",3
"Aves","Unknown","2010-05-21",30.26708,-87.59086,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.26708,-87.59086,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27096,-87.56505,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27107,-87.56474,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27109,-87.56452,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27125,-87.56417,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27132,-87.56261,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27162,-87.56186,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27299,-87.55202,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.27907,-87.52394,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-21",30.28005,-87.51916,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-21",3
"Aves","Unknown","2010-05-22",30.22492,-88.01857,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.22494,-88.00911,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.22494,-88.00911,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.22497,-88.00937,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.22979,-87.96846,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.23067,-87.95663,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.39273,-86.57564,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.58608,-87.05277,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-22",30.58907,-87.0379,"N",21,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-22",3
"Aves","Unknown","2010-05-24",29.26667,-89.60798,"N",22,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-05-24",5
"Aves","Unknown","2010-05-24",29.26667,-89.60798,"N",22,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-05-24",5
"Aves","Unknown","2010-05-24",30.21136,-88.98535,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-24",3
"Aves","Unknown","2010-05-24",30.31886,-88.50313,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-24",3
"Aves","Unknown","2010-05-25",30.24871,-87.67645,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-25",3
"Aves","Unknown","2010-05-25",30.24884,-87.6714,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-25",3
"Aves","Unknown","2010-05-25",30.26802,-87.58604,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-25",3
"Aves","Unknown","2010-05-25",30.37955,-86.40447,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-25",3
"Aves","Unknown","2010-05-29",30.2314,-87.92529,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-29",3
"Aves","Unknown","2010-05-29",30.35886,-86.98018,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-29",3
"Aves","Unknown","2010-05-29",30.3605,-86.98022,"N",22,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-05-29",5
"Aves","Unknown","2010-05-29",30.3608,-86.97887,"N",22,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-05-29",5
"Aves","Unknown","2010-05-29",30.361,-86.97794,"N",22,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-05-29",5
"Aves","Unknown","2010-05-30",29.74366,-85.39861,"N",22,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-05-30",3
"Aves","Unknown","2010-06-02",26.6432,-82.23889,"N",23,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-02",3
"Aves","Unknown","2010-06-02",27.08843,-82.45691,"N",23,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-02",3
"Aves","Unknown","2010-06-02",27.08843,-82.45691,"N",23,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-02",3
"Aves","Unknown","2010-06-02",30.20105,-88.44621,"N",23,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-02",5
"Aves","Unknown","2010-06-02",30.20106,-88.44642,"N",23,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-02",5
"Aves","Unknown","2010-06-04",30.24854,-88.19879,"N",23,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-04",5
"Aves","Unknown","2010-06-04",30.25103,-88.2035,"N",23,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-04",5
"Aves","Unknown","2010-06-05",26.68911,-82.25777,"N",23,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-05",3
"Aves","Unknown","2010-06-05",27.14842,-82.48035,"N",23,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-05",3
"Aves","Unknown","2010-06-05",30.33613,-86.19509,"N",23,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-05",3
"Aves","Unknown","2010-06-07",27.29875,-82.56993,"N",24,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-07",3
"Aves","Unknown","2010-06-09",26.4411,-82.03223,"N",24,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-09",3
"Aves","Unknown","2010-06-09",27.58107,-82.76236,"N",24,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-09",3
"Aves","Unknown","2010-06-09",29.68314,-85.30656,"N",24,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-09",3
"Aves","Unknown","2010-06-09",30.25182,-88.12819,"N",24,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-09",3
"Aves","Unknown","2010-06-12",29.41168,-89.93781,"N",24,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-12",5
"Aves","Unknown","2010-06-12",29.44378,-94.64772,"N",24,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-12",3
"Aves","Unknown","2010-06-19",26.73144,-82.26392,"N",25,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-19",5
"Aves","Unknown","2010-06-19",27.30122,-82.57129,"N",25,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-19",3
"Aves","Unknown","2010-06-19",29.21112,-94.92214,"N",25,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-19",3
"Aves","Unknown","2010-06-19",30.22669,-88.31717,"N",25,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-19",3
"Aves","Unknown","2010-06-23",30.22828,-87.85115,"N",26,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-06-23",4
"Aves","Unknown","2010-06-24",30.39445,-86.60209,"N",26,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-24",5
"Aves","Unknown","2010-06-25",27.26218,-82.54826,"N",26,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-25",3
"Aves","Unknown","2010-06-25",27.30332,-82.57235,"N",26,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-25",3
"Aves","Unknown","2010-06-25",27.31027,-82.57662,"N",26,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-25",3
"Aves","Unknown","2010-06-25",30.31885,-89.22997,"N",26,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-25",3
"Aves","Unknown","2010-06-25",30.31885,-89.22997,"N",26,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-25",3
"Aves","Unknown","2010-06-29",28.99926,-89.33888,"N",27,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-06-29",5
"Aves","Unknown","2010-06-29",29.00179,-89.3341,"N",27,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-06-29",4
"Aves","Unknown","2010-06-29",30.29386,-87.54871,"N",27,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-06-29",3
"Aves","Unknown","2010-06-29",30.34766,-88.69268,"N",27,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-06-29",4
"Aves","Unknown","2010-07-02",28.593,-89.09098,"N",27,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-07-02",5
"Aves","Unknown","2010-07-02",28.59478,-89.08458,"N",27,NA,NA,NA,NA,NA,"Unknown","Dead",1,"2010-07-02",5
"Aves","Unknown","2010-07-02",30.32211,-87.28951,"N",27,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-07-02",4
"Aves","Unknown","2010-07-02",30.35413,-87.01863,"N",27,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-02",3
"Aves","Unknown","2010-07-05",30.37096,-88.97268,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-05",3
"Aves","Unknown","2010-07-08",30.24943,-88.12705,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-08",3
"Aves","Unknown","2010-07-08",30.2918,-89.349,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-08",3
"Aves","Unknown","2010-07-08",30.30874,-89.32584,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-08",3
"Aves","Unknown","2010-07-08",30.30894,-89.32584,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-08",3
"Aves","Unknown","2010-07-08",30.31266,-89.40613,"N",28,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-07-08",4
"Aves","Unknown","2010-07-08",30.35228,-88.50832,"N",28,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-07-08",4
"Aves","Unknown","2010-07-09",29.17679,-94.98056,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-09",3
"Aves","Unknown","2010-07-09",30.20013,-88.46216,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-09",3
"Aves","Unknown","2010-07-09",30.23317,-87.97845,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-09",3
"Aves","Unknown","2010-07-11",30.34494,-87.1845,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-11",3
"Aves","Unknown","2010-07-11",30.36082,-86.97853,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-11",3
"Aves","Unknown","2010-07-11",30.39094,-86.51069,"N",28,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-11",3
"Aves","Unknown","2010-07-11",30.40668,-88.83163,"N",28,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-07-11",4
"Aves","Unknown","2010-07-18",29.0201,-89.1365,"N",29,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-18",3
"Aves","Unknown","2010-07-18",29.77441,-93.28902,"N",29,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-18",3
"Aves","Unknown","2010-07-18",30.30581,-87.38618,"N",29,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-18",3
"Aves","Unknown","2010-07-21",29.76137,-93.55988,"N",30,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-21",3
"Aves","Unknown","2010-07-21",30.334,-87.301,"N",30,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-07-21",3
"Aves","Unknown","2010-08-01",30.24663,-89.42548,"N",31,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-01",3
"Aves","Unknown","2010-08-03",29.65116,-85.16278,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-03",3
"Aves","Unknown","2010-08-03",29.79463,-85.41205,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-03",3
"Aves","Unknown","2010-08-03",30.23618,-88.27325,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-03",3
"Aves","Unknown","2010-08-03",30.35465,-87.01632,"N",32,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-08-03",4
"Aves","Unknown","2010-08-05",29.37303,-89.89208,"N",32,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-08-05",4
"Aves","Unknown","2010-08-07",29.06263,-90.47948,"N",32,NA,NA,NA,NA,NA,"Visibly Oiled","Dead",1,"2010-08-07",4
"Aves","Unknown","2010-08-07",29.15969,-89.17275,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-07",3
"Aves","Unknown","2010-08-07",29.3059,-89.71528,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-07",3
"Aves","Unknown","2010-08-07",29.30593,-89.71507,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-07",3
"Aves","Unknown","2010-08-08",29.01685,-89.20267,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-08",3
"Aves","Unknown","2010-08-08",30.23865,-88.75258,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-08",3
"Aves","Unknown","2010-08-08",30.40059,-86.59559,"N",32,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-08",3
"Aves","Unknown","2010-08-21",29.09138,-90.54399,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.16973,-89.20618,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
"Aves","Unknown","2010-08-21",29.55757,-89.19466,"N",34,NA,NA,NA,NA,NA,"Not Visibly Oiled","Dead",1,"2010-08-21",3
